Year,J,F,M,A,M,J,J,A,S,O,N,D
466,-0.606,-0.606,-0.606,-0.606,-0.606,-0.606,-0.606,-0.606,-0.606,-0.606,-0.606,-0.606
467,-1.075,-1.075,-1.075,-1.075,-1.075,-1.075,-1.075,-1.075,-1.075,-1.075,-1.075,-1.075
468,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184
469,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562
470,-0.628,-0.628,-0.628,-0.628,-0.628,-0.628,-0.628,-0.628,-0.628,-0.628,-0.628,-0.628
471,1.854,1.854,1.854,1.854,1.854,1.854,1.854,1.854,1.854,1.854,1.854,1.854
472,1.306,1.306,1.306,1.306,1.306,1.306,1.306,1.306,1.306,1.306,1.306,1.306
473,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3
474,-0.612,-0.612,-0.612,-0.612,-0.612,-0.612,-0.612,-0.612,-0.612,-0.612,-0.612,-0.612
475,-0.671,-0.671,-0.671,-0.671,-0.671,-0.671,-0.671,-0.671,-0.671,-0.671,-0.671,-0.671
476,-0.622,-0.622,-0.622,-0.622,-0.622,-0.622,-0.622,-0.622,-0.622,-0.622,-0.622,-0.622
477,-0.627,-0.627,-0.627,-0.627,-0.627,-0.627,-0.627,-0.627,-0.627,-0.627,-0.627,-0.627
478,-1.924,-1.924,-1.924,-1.924,-1.924,-1.924,-1.924,-1.924,-1.924,-1.924,-1.924,-1.924
479,0.8820001,0.8820001,0.8820001,0.8820001,0.8820001,0.8820001,0.8820001,0.8820001,0.8820001,0.8820001,0.8820001,0.8820001
480,2.129,2.129,2.129,2.129,2.129,2.129,2.129,2.129,2.129,2.129,2.129,2.129
481,2.801,2.801,2.801,2.801,2.801,2.801,2.801,2.801,2.801,2.801,2.801,2.801
482,1.168,1.168,1.168,1.168,1.168,1.168,1.168,1.168,1.168,1.168,1.168,1.168
483,0.5320001,0.5320001,0.5320001,0.5320001,0.5320001,0.5320001,0.5320001,0.5320001,0.5320001,0.5320001,0.5320001,0.5320001
484,-0.469,-0.469,-0.469,-0.469,-0.469,-0.469,-0.469,-0.469,-0.469,-0.469,-0.469,-0.469
485,-1.061,-1.061,-1.061,-1.061,-1.061,-1.061,-1.061,-1.061,-1.061,-1.061,-1.061,-1.061
486,-2.219,-2.219,-2.219,-2.219,-2.219,-2.219,-2.219,-2.219,-2.219,-2.219,-2.219,-2.219
487,-2.856,-2.856,-2.856,-2.856,-2.856,-2.856,-2.856,-2.856,-2.856,-2.856,-2.856,-2.856
488,-2.578,-2.578,-2.578,-2.578,-2.578,-2.578,-2.578,-2.578,-2.578,-2.578,-2.578,-2.578
489, 0.1800001E-01, 0.1800001E-01, 0.1800001E-01, 0.1800001E-01, 0.1800001E-01, 0.1800001E-01, 0.1800001E-01, 0.1800001E-01, 0.1800001E-01, 0.1800001E-01, 0.1800001E-01, 0.1800001E-01
490,-1.203,-1.203,-1.203,-1.203,-1.203,-1.203,-1.203,-1.203,-1.203,-1.203,-1.203,-1.203
491,-2.015,-2.015,-2.015,-2.015,-2.015,-2.015,-2.015,-2.015,-2.015,-2.015,-2.015,-2.015
492,-1.757,-1.757,-1.757,-1.757,-1.757,-1.757,-1.757,-1.757,-1.757,-1.757,-1.757,-1.757
493,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249
494,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589
495,1.679,1.679,1.679,1.679,1.679,1.679,1.679,1.679,1.679,1.679,1.679,1.679
496,-0.227,-0.227,-0.227,-0.227,-0.227,-0.227,-0.227,-0.227,-0.227,-0.227,-0.227,-0.227
497,-0.604,-0.604,-0.604,-0.604,-0.604,-0.604,-0.604,-0.604,-0.604,-0.604,-0.604,-0.604
498,3.071,3.071,3.071,3.071,3.071,3.071,3.071,3.071,3.071,3.071,3.071,3.071
499,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654
500,-1.248,-1.248,-1.248,-1.248,-1.248,-1.248,-1.248,-1.248,-1.248,-1.248,-1.248,-1.248
501, 0.4200000E-01, 0.4200000E-01, 0.4200000E-01, 0.4200000E-01, 0.4200000E-01, 0.4200000E-01, 0.4200000E-01, 0.4200000E-01, 0.4200000E-01, 0.4200000E-01, 0.4200000E-01, 0.4200000E-01
502,-0.437,-0.437,-0.437,-0.437,-0.437,-0.437,-0.437,-0.437,-0.437,-0.437,-0.437,-0.437
503,-1.901,-1.901,-1.901,-1.901,-1.901,-1.901,-1.901,-1.901,-1.901,-1.901,-1.901,-1.901
504,-1.983,-1.983,-1.983,-1.983,-1.983,-1.983,-1.983,-1.983,-1.983,-1.983,-1.983,-1.983
505,-2.794,-2.794,-2.794,-2.794,-2.794,-2.794,-2.794,-2.794,-2.794,-2.794,-2.794,-2.794
506,-1.373,-1.373,-1.373,-1.373,-1.373,-1.373,-1.373,-1.373,-1.373,-1.373,-1.373,-1.373
