 YEAR, RECON
1476,0.936
1477,0.97
1478,1.367
1479,1.138
1480,2.433
1481,0.309
1482,0.579
1483,-0.794
1484,0.461
1485,-0.723
1486,-2.219
1487,1.622
1488,-1.599
1489,-0.419
1490,-1.121
1491,-2.716
1492,0.05
1493,1.389
1494,0.034
1495,-0.722
1496,-0.794
1497,0.57
1498,0.149
1499,-2.764
1500,0.967
1501,-1.52
1502,-1.323
1503,-0.72
1504,-1.055
1505,-3.056
1506,0.492
1507,2.526
1508,1.125
1509,-2.536
1510,1.126
1511,1.186
1512,-0.491
1513,0.91
1514,-0.634
1515,0.656
1516,-0.237
1517,-0.63
1518,-1.758
1519,0.093
1520,-0.676
1521,-2.916
1522,-2.065
1523,-2.065
1524,1.056
1525,-0.696
1526,-1.031
1527,0.49
1528,-0.83
1529,1.275
1530,1.822
1531,1.232
1532,2.119
1533,-1.595
1534,-1.036
1535,-0.354
1536,-0.112
1537,-1.451
1538,0.009
1539,0.641
1540,1.678
1541,2.749
1542,-1.291
1543,0.564
1544,-2.403
1545,-0.462
1546,-0.477
1547,0.574
1548,0.521
1549,0.923
1550,-0.933
1551,-1.796
1552,-1.332
1553,1.8
1554,1.895
1555,0.028
1556,0.463
1557,-0.495
1558,-0.925
1559,-0.09
1560,-1.432
1561,0.843
1562,-1.758
1563,-2.629
1564,-2.232
1565,-1.434
1566,-3.268
1567,-0.74
1568,-1.934
1569,-2.086
1570,-0.9
1571,-0.739
1572,-1.633
1573,-1.606
1574,-1.232
1575,-0.961
1576,-0.062
1577,1.109
1578,0.956
1579,-0.377
1580,0.335
1581,1.28
1582,0.743
1583,0.405
1584,1.737
1585,0.532
1586,-2.838
1587,-2.665
1588,-1.302
1589,-1.442
1590,0.276
1591,-0.838
1592,-1.103
1593,0.533
1594,0.297
1595,-0.525
1596,-1.764
1597,-2.287
1598,-2.116
1599,-2.005
1600,1.43
1601,1.369
1602,2.985
1603,-0.128
1604,-0.224
1605,0.859
1606,-1.093
1607,-0.129
1608,-1.264
1609,-0.57
1610,-1.398
1611,-0.016
