"year","pApril","pMay","pJune","pJuly","pAugust","pSeptember","pOctober","pNovmber","pDecember","j","f","m","a","m","j","j","a","s","o","n","d","mj"
1956,79.04999,61.19999,107.35,100.25,62.25,63.3,61.44999,77.75,68.8,72.34999,223.15,166.85,135.75,81.45,140.3,156.45,127.75,66.65,36.64999,57.35,135.85,110.875
1957,135.75,81.45,140.3,156.45,127.75,66.65,36.64999,57.35,135.85,194.1,114.95,57,130.65,98.74999,148.1,33.2,86.7,188.2,67.85,131.6,138.45,123.424995
1958,130.65,98.74999,148.1,33.2,86.7,188.2,67.85,131.6,138.45,56.09999,85.10001,87.45,180.15,141.9,77.1,107.05,160,56.05,39.74999,67.05,78.10001,109.5
1959,180.15,141.9,77.1,107.05,160,56.05,39.74999,67.05,78.10001,110.1,75.4,100.95,96.34999,128.1,60.1,111.5,70.7,44.6,107.1,118.1,111.6,94.1
1960,96.34999,128.1,60.1,111.5,70.7,44.6,107.1,118.1,111.6,70.74999,85.55,117.05,39.54999,72.25,145.9,123.15,93.25,118.45,64.05,60.45,69.7,109.075
1961,39.54999,72.25,145.9,123.15,93.25,118.45,64.05,60.45,69.7,78.55,151.7,110.35,119.8,92.3,105.45,114.9,72.05,42.55,55.3,81.8,151.35,98.875
1962,119.8,92.3,105.45,114.9,72.05,42.55,55.3,81.8,151.35,111.75,153.55,123.15,102.3,70.55,110.55,130.85,55.4,127.9,59.19999,95,76.8,90.55
1963,102.3,70.55,110.55,130.85,55.4,127.9,59.19999,95,76.8,68.89999,52.15,272.5,52.75,121.95,89.09999,131.25,87.75,31.55,0.2999878,91.4,44.15001,105.524995
1964,52.75,121.95,89.09999,131.25,87.75,31.55,0.2999878,91.4,44.15001,111.3,105.6,156.35,127.85,65.84999,73.7,89.04999,106.45,117.3,107.05,88.75,127.55,69.774995
1965,127.85,65.84999,73.7,89.04999,106.45,117.3,107.05,88.75,127.55,95.49999,54.85,165.55,112.3,78.7,63.05,211.15,53.4,59.85,55.84999,37.7,9.849998,70.875
1966,112.3,78.7,63.05,211.15,53.4,59.85,55.84999,37.7,9.849998,68.09999,96.95,75.29999,109.45,82.2,75.15,160.2,127.15,101.6,67.49999,104.2,83.7,78.675
1967,109.45,82.2,75.15,160.2,127.15,101.6,67.49999,104.2,83.7,68.95,71.75,159.1,84.35,153.85,83.74999,237.05,84,59.6,47.89999,102.65,147.8,118.799995
1968,84.35,153.85,83.74999,237.05,84,59.6,47.89999,102.65,147.8,73.45,14.25,109.2,125.4,124.15,58,144.65,69.5,68.5,56.09999,51.65,63.95,91.075
1969,125.4,124.15,58,144.65,69.5,68.5,56.09999,51.65,63.95,64.35,121.95,34.39999,74.89999,50,154.75,96.54999,69.95,38.5,42.49999,78.85001,184.5,102.375
1970,74.89999,50,154.75,96.54999,69.95,38.5,42.49999,78.85001,184.5,46.04999,90.6,73.2,195.75,48.6,100.55,52.89999,148.95,102,115.9,46.35,87.50001,74.575
1971,195.75,48.6,100.55,52.89999,148.95,102,115.9,46.35,87.50001,106.95,83.14999,73.39999,78.39999,182.2,123.55,157.4,62.15,88.45,73.34999,51,91.35001,152.875
1972,78.39999,182.2,123.55,157.4,62.15,88.45,73.34999,51,91.35001,183.5,124.85,114.5,157.4,96.59999,106.9,184.45,37.09999,96.39999,108.8,105.2,175.85,101.749995
1973,157.4,96.59999,106.9,184.45,37.09999,96.39999,108.8,105.2,175.85,54.95,64,182.55,94.64999,178.3,141.6,139.55,88.09999,83.85,90.69999,208.05,127.65,159.95
1974,94.64999,178.3,141.6,139.55,88.09999,83.85,90.69999,208.05,127.65,207.85,94.2,127.55,86.69999,208.25,133.8,51.89999,137.05,109.7,45.34999,80.05,103.95,171.025
1975,86.69999,208.25,133.8,51.89999,137.05,109.7,45.34999,80.05,103.95,106.1,105.95,264.6,79.59999,143.3,77.89999,38.89999,55.4,120.55,96.5,76.85,90.05001,110.599995
1976,79.59999,143.3,77.89999,38.89999,55.4,120.55,96.5,76.85,90.05001,102.35,78.75,138.5,10.95,107.65,115.4,92.94999,43.3,100.35,131.35,30.25,53.6,111.525
1977,10.95,107.65,115.4,92.94999,43.3,100.35,131.35,30.25,53.6,46.19999,32.65001,96.5,217.45,44.14999,153.8,96.45,162.75,96.95,145.35,176.95,79.50001,98.974995
1978,217.45,44.14999,153.8,96.45,162.75,96.95,145.35,176.95,79.50001,115.5,29.35,88.75,49.99999,129.1,66.39999,127.15,172.2,33.1,30.49999,103.25,179.6,97.749995
1979,49.99999,129.1,66.39999,127.15,172.2,33.1,30.49999,103.25,179.6,159.4,107.25,101.75,98.14999,127.4,97.8,171.1,114.3,90.65,62.04999,122.55,65.90001,112.6
1980,98.14999,127.4,97.8,171.1,114.3,90.65,62.04999,122.55,65.90001,120.1,46.05,156.65,94.04999,103.1,29.89999,97.05,63.75,72.65,40.05,75.85,37,66.499995
1981,94.04999,103.1,29.89999,97.05,63.75,72.65,40.05,75.85,37,23.8,96.45,74.59999,107.05,90.89999,89.09999,141.15,107.95,82,102.05,34.7,77.10001,89.99999
1982,107.05,90.89999,89.09999,141.15,107.95,82,102.05,34.7,77.10001,141.7,127.2,93.49999,65.95,112.2,132.55,110,108.6,119.45,40.45,133.4,112.3,122.375
1983,65.95,112.2,132.55,110,108.6,119.45,40.45,133.4,112.3,38.7,77.9,48.2,102.7,177.5,104.45,76.49998,91.14999,39.75,78.39999,87.8,110.2,140.975
1984,102.7,177.5,104.45,76.49998,91.14999,39.75,78.39999,87.8,110.2,47.05,113.85,125.15,109.25,188.35,86.3,175.75,57.09999,22.3,123.5,120.25,71.3,137.325
